canonical,aliases
Python,"python"
JavaScript,"javascript"
Java,"java"
SQL,"sql"
Docker,"docker"
Git,"git"
Linux,"linux"
React,"react"
Communication,"communication,compétences en communication"
Leadership,"leadership,direction d'équipe"
Teamwork,"travail d'équipe,collaboration,esprit d'équipe"
Problem Solving,"résolution de problèmes,analyse"
Project Management,"gestion de projet,gestion de projets"
Sales,"vente,ventes,développement commercial"
Negotiation,"négociation"
Excel,"excel"
PowerPoint,"powerpoint"
Presentation,"présentation,présentations"
Customer Service,"service client,relation client"
Agile,"agile,méthode agile,scrum"
